1300_1330vwap,935_940vwap,amount,direction,excutointime_13:00_vwap,excutointime_9:35_vwap,instrument,pnl_buy_935-940,pnl_buy_excutointime,pnl_sell_1300-1330,pnl_sell_excutointime,price,tradingday,tradingtime,volume
NaN,66.20533114,39576,BUY,NaN,65.92859987,688348.SH,37.05610105,-4.762748611,NaN,NaN,65.96,20251117,09:37:01,600
NaN,26.82645937,53792,BUY,NaN,26.8266576,688349.SH,-25.92240446,-25.84831726,NaN,NaN,26.896,20251117,09:40:01,2000
NaN,135.1483392,80910,BUY,NaN,134.6027995,688353.SH,22.07494211,-18.36517895,NaN,NaN,134.85,20251117,09:37:02,600
NaN,39.31122064,110034.4,BUY,NaN,39.32973196,688388.SH,3.363071211,8.068185687,NaN,NaN,39.298,20251117,09:39:04,2800
NaN,64.51268476,90240,BUY,NaN,64.54898972,688390.SH,8.609454782,14.22901623,NaN,NaN,64.45714286,20251117,09:39:01,1400
NaN,110.1989446,44906,BUY,NaN,111.4455921,688392.SH,-187.484139,-73.52537806,NaN,NaN,112.265,20251117,09:36:15,400
NaN,52.34987654,71768.08,BUY,NaN,52.35441528,688408.SH,7.789957262,8.656207379,NaN,NaN,52.30909621,20251117,09:39:02,1372
NaN,17.57622556,17590,BUY,NaN,17.58639676,688429.SH,-7.836971619,-2.048876675,NaN,NaN,17.59,20251117,09:39:01,1000
NaN,21.27737257,264392.8,BUY,NaN,21.34866966,688472.SH,-20.97412858,12.49242247,NaN,NaN,21.322,20251117,09:39:07,12400
NaN,59.42611995,59378,BUY,NaN,59.52969536,688499.SH,8.097441828,25.48230005,NaN,NaN,59.378,20251117,09:39:01,1000
NaN,57.42521298,80497.2,BUY,NaN,57.52992546,688503.SH,-12.67509767,5.549366172,NaN,NaN,57.498,20251117,09:39:04,1400
NaN,44.52689056,62426,BUY,NaN,44.56509964,688516.SH,-14.17333302,-5.58741365,NaN,NaN,44.59,20251117,09:39:01,1400
NaN,26.835102,76068.4,BUY,NaN,26.83479839,688518.SH,18.80153389,18.68860615,NaN,NaN,26.78464789,20251117,09:40:01,2840
NaN,10.52743804,58990.4,BUY,NaN,10.53277346,688556.SH,-6.233198295,-1.164500309,NaN,NaN,10.534,20251117,09:39:45,5600
NaN,54.13400598,86937.6,BUY,NaN,54.15706893,688559.SH,-37.3137017,-33.03928255,NaN,NaN,54.336,20251117,09:39:02,1600
NaN,15.78328426,18981.6,BUY,NaN,15.78875357,688560.SH,-21.99525824,-18.52358548,NaN,NaN,15.818,20251117,09:39:01,1200
NaN,17.92999392,129153.6,BUY,NaN,17.95194666,688567.SH,-4.465185635,7.768885324,NaN,NaN,17.938,20251117,09:39:02,7200
NaN,27.95500684,11214,BUY,NaN,28.06946886,688573.SH,-28.6149659,12.27983921,NaN,NaN,28.035,20251117,09:36:01,400
NaN,32.24920671,58071.6,BUY,NaN,32.26195606,688598.SH,-3.967008402,-0.013618328,NaN,NaN,32.262,20251117,09:39:31,1800
NaN,20.89386424,230209,BUY,NaN,20.93862533,688599.SH,-16.38120571,5.031095408,NaN,NaN,20.92809091,20251117,09:39:01,11000
NaN,33.12348297,9927,BUY,NaN,33.14634992,688612.SH,10.10853024,17.00034004,NaN,NaN,33.09,20251117,09:35:30,300
NaN,16.92308024,74597.6,BUY,NaN,16.92306901,688660.SH,-18.27076327,-18.27740977,NaN,NaN,16.954,20251117,09:40:01,4400
